GKGRECORDID	STRING	NULLABLE	
DATE	DATE	NULLABLE	
SourceCollectionIdentifier	INTEGER	NULLABLE	
SourceCommonName	STRING	NULLABLE	
DocumentIdentifier	STRING	NULLABLE	
Counts	STRING	NULLABLE	
V2Counts	STRING	NULLABLE	
Themes	STRING	NULLABLE	
V2Themes	STRING	NULLABLE	
Locations	STRING	NULLABLE	
V2Locations	STRING	NULLABLE	
Persons	STRING	NULLABLE	
V2Persons	STRING	NULLABLE	
Organizations	STRING	NULLABLE	
V2Organizations	STRING	NULLABLE	
V2Tone	STRING	NULLABLE	
Dates	STRING	NULLABLE	
GCAM	STRING	NULLABLE	
SharingImage	STRING	NULLABLE	
RelatedImages	STRING	NULLABLE	
SocialImageEmbeds	STRING	NULLABLE	
SocialVideoEmbeds	STRING	NULLABLE	
Quotations	STRING	NULLABLE	
AllNames	STRING	NULLABLE	
Amounts	STRING	NULLABLE	
TranslationInfo	STRING	NULLABLE	
Extras	STRING	NULLABLE	
